task_id,difficulty,hint,status,candidate_index,is_best,program,train_pass_all,train_correct_count,train_total_examples,train_accuracy,train_error,test_pass_all,test_correct_count,test_total_examples,test_accuracy,test_error,num_programs_requested,num_programs_parsed,fallback_used,error
0a938d79,Easy,"The blocks’ initial positions and spacing, as well as the board’s width and height, will affect the result.",ok,5,False,"# candidate 5
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    colors = [c for c in np.unique(g) if c != 0]
    for color in colors:
        locs = np.argwhere(g == color)
        if locs.shape[0] == 0:
            continue
        r, c = locs[0]
        if np.sum(g[r] != 0) == 1:
            g[r] = color
        if np.sum(g[:, c] != 0) == 1:
            g[:, c] = color
    return g",False,0,4,0.0,,False,0,1,0.0,,6,6,False,
0a938d79,Easy,"The blocks’ initial positions and spacing, as well as the board’s width and height, will affect the result.",ok,6,True,"# candidate 6
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    colors = [v for v in np.unique(g) if v != 0]
    for v in colors:
        p = np.argwhere(g == v)
        if p.shape[0] == 0:
            continue
        r, c = p[0]
        if np.count_nonzero(g[r]) == 1:
            g[r, :] = v
        elif np.count_nonzero(g[:, c]) == 1:
            g[:, c] = v
    return g",False,0,4,0.0,,False,0,1,0.0,,6,6,False,
0b148d64,Easy,"Overall, it is actually divided into several large sections, with one section in a different color.",ok,1,False,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid)
    nonzero_rows = np.where(np.any(g != 0, axis=1))[0]
    nonzero_cols = np.where(np.any(g != 0, axis=0))[0]
    if len(nonzero_rows) == 0 or len(nonzero_cols) == 0:
        return g.copy()
    r0, r1 = nonzero_rows[0], nonzero_rows[-1] + 1
    c0, c1 = nonzero_cols[0], nonzero_cols[-1] + 1
    return g[r0:r1, c0:c1].copy()",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0b148d64,Easy,"Overall, it is actually divided into several large sections, with one section in a different color.",ok,2,False,"# candidate 2
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid)
    vals, counts = np.unique(g[g != 0], return_counts=True)
    if len(vals) == 0:
        return g.copy()
    color = vals[np.argmax(counts)]
    rows = np.where(np.any(g == color, axis=1))[0]
    cols = np.where(np.any(g == color, axis=0))[0]
    if len(rows) == 0 or len(cols) == 0:
        return g.copy()
    return g[rows[0]:rows[-1] + 1, cols[0]:cols[-1] + 1].copy()",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0b148d64,Easy,"Overall, it is actually divided into several large sections, with one section in a different color.",ok,3,False,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid)
    row_counts = np.sum(g != 0, axis=1)
    col_counts = np.sum(g != 0, axis=0)
    rmask = row_counts > 0
    cmask = col_counts > 0
    if not np.any(rmask) or not np.any(cmask):
        return g.copy()
    r = np.where(rmask)[0]
    c = np.where(cmask)[0]
    return g[r.min():r.max()+1, c.min():c.max()+1].copy()",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0b148d64,Easy,"Overall, it is actually divided into several large sections, with one section in a different color.",ok,4,True,"# candidate 4
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid)
    colors = [x for x in np.unique(g) if x != 0]
    if not colors:
        return g.copy()
    best = None
    best_area = None
    for color in colors:
        pos = np.argwhere(g == color)
        if pos.size == 0:
            continue
        r0, c0 = pos.min(axis=0)
        r1, c1 = pos.max(axis=0) + 1
        area = (r1 - r0) * (c1 - c0)
        if best is None or area < best_area:
            best = (r0, r1, c0, c1)
            best_area = area
    r0, r1, c0, c1 = best
    return g[r0:r1, c0:c1].copy()",True,3,3,1.0,,True,1,1,1.0,,6,6,False,
0b148d64,Easy,"Overall, it is actually divided into several large sections, with one section in a different color.",ok,5,False,"# candidate 5
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid)
    # Find the largest connected non-zero rectangle-like block by rows/cols with any non-zero.
    row_has = np.any(g != 0, axis=1)
    col_has = np.any(g != 0, axis=0)
    if not row_has.any() or not col_has.any():
        return g.copy()
    r_idx = np.where(row_has)[0]
    c_idx = np.where(col_has)[0]
    # Trim empty rows/cols from borders only
    return g[r_idx[0]:r_idx[-1]+1, c_idx[0]:c_idx[-1]+1].copy()",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0b148d64,Easy,"Overall, it is actually divided into several large sections, with one section in a different color.",ok,6,False,"# candidate 6
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid)
    # Crop to the bounding box of the most frequent non-zero color.
    nz = g[g != 0]
    if nz.size == 0:
        return g.copy()
    colors, counts = np.unique(nz, return_counts=True)
    color = colors[np.argmax(counts)]
    pts = np.argwhere(g == color)
    r0, c0 = pts.min(axis=0)
    r1, c1 = pts.max(axis=0) + 1
    return g[r0:r1, c0:c1].copy()",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0d3d703e,Easy,The colors have a corresponding pattern of change.,ok,1,False,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    mapping = {1: 5, 2: 6, 3: 4, 4: 3, 5: 1, 6: 2, 8: 9, 9: 8}
    out = np.vectorize(lambda x: mapping.get(int(x), int(x)))(input_grid)
    return out.astype(int)",True,4,4,1.0,,True,1,1,1.0,,6,6,False,
0d3d703e,Easy,The colors have a corresponding pattern of change.,ok,2,False,"# candidate 2
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    mapping = {1: 5, 2: 6, 3: 4, 4: 3, 5: 1, 6: 2, 8: 9, 9: 8}
    out = np.empty_like(input_grid)
    for i in range(input_grid.shape[0]):
        for j in range(input_grid.shape[1]):
            out[i, j] = mapping.get(int(input_grid[i, j]), int(input_grid[i, j]))
    return out",True,4,4,1.0,,True,1,1,1.0,,6,6,False,
0d3d703e,Easy,The colors have a corresponding pattern of change.,ok,3,True,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    d = np.array([0, 5, 6, 4, 3, 1, 2, 7, 9, 8], dtype=int)
    return d[input_grid]",True,4,4,1.0,,True,1,1,1.0,,6,6,False,
0d3d703e,Easy,The colors have a corresponding pattern of change.,ok,4,False,"# candidate 4
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    out = input_grid.copy()
    pairs = [(1, 5), (2, 6), (3, 4), (8, 9)]
    for a, b in pairs:
        out[input_grid == a] = b
        out[input_grid == b] = a
    return out",True,4,4,1.0,,True,1,1,1.0,,6,6,False,
0d3d703e,Easy,The colors have a corresponding pattern of change.,ok,5,False,"# candidate 5
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    mapping = {1: 5, 2: 6, 3: 4, 4: 3, 5: 1, 6: 2, 8: 9, 9: 8}
    return np.array([[mapping.get(int(v), int(v)) for v in row] for row in input_grid], dtype=int)",True,4,4,1.0,,True,1,1,1.0,,6,6,False,
0d3d703e,Easy,The colors have a corresponding pattern of change.,ok,6,False,"# candidate 6
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    # infer a simple digit substitution from the examples
    lut = np.arange(10, dtype=int)
    lut[1], lut[5] = 5, 1
    lut[2], lut[6] = 6, 2
    lut[3], lut[4] = 4, 3
    lut[8], lut[9] = 9, 8
    return lut[input_grid]",True,4,4,1.0,,True,1,1,1.0,,6,6,False,
0dfd9992,Medium,"Fill in the missing spaces. The whole image is like a carpet, with a regular repeating arrangement.",ok,1,True,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    for i in range(h - 1):
        for j in range(w - 1):
            if g[i, j] == 0:
                g[i, j] = g[i + 1, j]
    return g",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0dfd9992,Medium,"Fill in the missing spaces. The whole image is like a carpet, with a regular repeating arrangement.",ok,2,False,"# candidate 2
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    h, w = g.shape
    for i in range(h):
        for j in range(w):
            if g[i, j] == 0:
                vals = []
                if i > 0 and g[i - 1, j] != 0:
                    vals.append(g[i - 1, j])
                if i + 1 < h and g[i + 1, j] != 0:
                    vals.append(g[i + 1, j])
                if j > 0 and g[i, j - 1] != 0:
                    vals.append(g[i, j - 1])
                if j + 1 < w and g[i, j + 1] != 0:
                    vals.append(g[i, j + 1])
                if vals:
                    g[i, j] = vals[0]
    return g",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0dfd9992,Medium,"Fill in the missing spaces. The whole image is like a carpet, with a regular repeating arrangement.",ok,3,False,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    for i in range(h):
        for j in range(w):
            if g[i, j] == 0:
                if i > 0:
                    g[i, j] = g[i - 1, j]
                elif i + 1 < h:
                    g[i, j] = g[i + 1, j]
    return g",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0dfd9992,Medium,"Fill in the missing spaces. The whole image is like a carpet, with a regular repeating arrangement.",ok,4,False,"# candidate 4
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    h, w = g.shape
    for i in range(h):
        for j in range(w):
            if g[i, j] == 0:
                r0 = max(0, i - 1)
                r1 = min(h, i + 2)
                c0 = max(0, j - 1)
                c1 = min(w, j + 2)
                block = g[r0:r1, c0:c1]
                nz = block[block != 0]
                if nz.size:
                    g[i, j] = nz[0]
    return g",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0dfd9992,Medium,"Fill in the missing spaces. The whole image is like a carpet, with a regular repeating arrangement.",ok,5,False,"# candidate 5
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    for i in range(h):
        for j in range(w):
            if g[i, j] == 0:
                if i > 0 and g[i - 1, j] != 0:
                    g[i, j] = g[i - 1, j]
                elif j > 0 and g[i, j - 1] != 0:
                    g[i, j] = g[i, j - 1]
                elif i + 1 < h and g[i + 1, j] != 0:
                    g[i, j] = g[i + 1, j]
                elif j + 1 < w and g[i, j + 1] != 0:
                    g[i, j] = g[i, j + 1]
    return g",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
0dfd9992,Medium,"Fill in the missing spaces. The whole image is like a carpet, with a regular repeating arrangement.",ok,6,False,"# candidate 6
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    h, w = g.shape
    for i in range(h):
        for j in range(w):
            if g[i, j] == 0:
                if i % 2 == 0 and i + 1 < h:
                    g[i, j] = g[i + 1, j]
                elif i % 2 == 1 and i > 0:
                    g[i, j] = g[i - 1, j]
    return g",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
150deff5,Easy,"Color the blocks. In the end, only two colors and two block shapes are used.",ok,1,False,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    out = g.copy()
    rows, cols = np.where(g == 5)
    if rows.size == 0:
        return out
    r0, r1 = rows.min(), rows.max()
    c0, c1 = cols.min(), cols.max()
    for r in range(r0, r1 + 1):
        for c in range(c0, c1 + 1):
            if g[r, c] == 5:
                if (r + c) % 2 == 0:
                    out[r, c] = 8
                else:
                    out[r, c] = 2
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
150deff5,Easy,"Color the blocks. In the end, only two colors and two block shapes are used.",ok,2,True,"# candidate 2
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    out = g.copy()
    coords = np.argwhere(g == 5)
    if coords.size == 0:
        return out
    r0, c0 = coords.min(axis=0)
    r1, c1 = coords.max(axis=0)
    for r in range(r0, r1 + 1):
        for c in range(c0, c1 + 1):
            if g[r, c] == 5:
                out[r, c] = 8 if (r - r0) % 2 == 0 else 2
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
150deff5,Easy,"Color the blocks. In the end, only two colors and two block shapes are used.",ok,3,False,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    out = g.copy()
    coords = np.argwhere(g == 5)
    if len(coords) == 0:
        return out
    r0, c0 = coords.min(axis=0)
    r1, c1 = coords.max(axis=0)
    for r in range(r0, r1 + 1):
        for c in range(c0, c1 + 1):
            if g[r, c] == 5:
                out[r, c] = 2 if (c - c0) % 2 == 0 else 8
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
150deff5,Easy,"Color the blocks. In the end, only two colors and two block shapes are used.",ok,4,False,"# candidate 4
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    out = g.copy()
    coords = np.argwhere(g == 5)
    if coords.size == 0:
        return out
    r0, c0 = coords.min(axis=0)
    r1, c1 = coords.max(axis=0)
    for r in range(r0, r1 + 1):
        for c in range(c0, c1 + 1):
            if g[r, c] == 5:
                if (r - r0) <= (c - c0):
                    out[r, c] = 2
                else:
                    out[r, c] = 8
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
150deff5,Easy,"Color the blocks. In the end, only two colors and two block shapes are used.",ok,5,False,"# candidate 5
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    out = g.copy()
    coords = np.argwhere(g == 5)
    if coords.size == 0:
        return out
    r0, c0 = coords.min(axis=0)
    r1, c1 = coords.max(axis=0)
    h = r1 - r0 + 1
    w = c1 - c0 + 1
    for r in range(r0, r1 + 1):
        for c in range(c0, c1 + 1):
            if g[r, c] == 5:
                if (r - r0) < h // 2:
                    out[r, c] = 8
                else:
                    out[r, c] = 2
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
150deff5,Easy,"Color the blocks. In the end, only two colors and two block shapes are used.",ok,6,False,"# candidate 6
import numpy as np

def transform_grid(grid: np.ndarray) -> np.ndarray:
    g = np.array(grid, copy=True)
    out = g.copy()
    coords = np.argwhere(g == 5)
    if coords.size == 0:
        return out
    r0, c0 = coords.min(axis=0)
    r1, c1 = coords.max(axis=0)
    for r in range(r0, r1 + 1):
        for c in range(c0, c1 + 1):
            if g[r, c] == 5:
                if (r + c + r0 + c0) % 2 == 0:
                    out[r, c] = 2
                else:
                    out[r, c] = 8
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
178fcbfb,Easy,"Pay attention to each cell’s row and column, as well as the direction in which blocks of different colors extend.",ok,1,False,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    out = np.zeros_like(g)
    nz = np.argwhere(g != 0)
    for r, c in nz:
        v = g[r, c]
        out[:, c] = np.where(out[:, c] == 0, v, out[:, c])
        out[r, :] = v
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
178fcbfb,Easy,"Pay attention to each cell’s row and column, as well as the direction in which blocks of different colors extend.",ok,2,True,"# candidate 2
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    out = np.zeros_like(g)
    nz = np.argwhere(g != 0)
    for r, c in nz:
        v = g[r, c]
        out[r, :] = v
        out[:, c] = v
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
178fcbfb,Easy,"Pay attention to each cell’s row and column, as well as the direction in which blocks of different colors extend.",ok,3,False,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    out = np.zeros_like(g)
    nz = np.argwhere(g != 0)
    for r, c in nz:
        v = g[r, c]
        if np.count_nonzero(g[:, c]) == 1:
            out[:, c] = v
        if np.count_nonzero(g[r, :]) == 1:
            out[r, :] = v
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
178fcbfb,Easy,"Pay attention to each cell’s row and column, as well as the direction in which blocks of different colors extend.",ok,4,False,"# candidate 4
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    out = np.zeros_like(g)
    nz = np.argwhere(g != 0)
    for r, c in nz:
        v = g[r, c]
        if v == 1:
            out[r, :] = 1
        elif v == 2:
            out[:, c] = 2
        elif v == 3:
            out[r, :] = 3
            out[:, c] = 3
        else:
            out[r, :] = v
            out[:, c] = v
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
178fcbfb,Easy,"Pay attention to each cell’s row and column, as well as the direction in which blocks of different colors extend.",ok,5,False,"# candidate 5
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    out = np.zeros_like(g)
    nz = np.argwhere(g != 0)
    for r, c in nz:
        v = g[r, c]
        if r <= c:
            out[:, c] = v
        else:
            out[r, :] = v
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
178fcbfb,Easy,"Pay attention to each cell’s row and column, as well as the direction in which blocks of different colors extend.",ok,6,False,"# candidate 6
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid, copy=True)
    h, w = g.shape
    out = np.zeros_like(g)
    nz = np.argwhere(g != 0)
    for r, c in nz:
        v = g[r, c]
        out[:, c] = v
        out[r, :] = v
    return out",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
1c786137,Easy,Notice that a single color forms a rectangle.,ok,1,True,"# candidate 1
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid)
    vals, counts = np.unique(g, return_counts=True)
    bg = vals[np.argmax(counts)]
    mask = g != bg
    rows = np.where(mask.any(axis=1))[0]
    cols = np.where(mask.any(axis=0))[0]
    if len(rows) == 0 or len(cols) == 0:
        return g[:0, :0]
    sub = g[rows.min():rows.max()+1, cols.min():cols.max()+1]
    return sub",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
1c786137,Easy,Notice that a single color forms a rectangle.,ok,2,False,"# candidate 2
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid)
    vals, counts = np.unique(g, return_counts=True)
    bg = vals[np.argmax(counts)]
    h, w = g.shape
    row_scores = np.sum(g != bg, axis=1)
    col_scores = np.sum(g != bg, axis=0)
    r0 = np.argmax(row_scores > 0)
    r1 = h - np.argmax((row_scores > 0)[::-1]) - 1
    c0 = np.argmax(col_scores > 0)
    c1 = w - np.argmax((col_scores > 0)[::-1]) - 1
    sub = g[r0:r1+1, c0:c1+1]
    return sub[::2, ::2]",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
1c786137,Easy,Notice that a single color forms a rectangle.,ok,3,False,"# candidate 3
import numpy as np

def transform_grid(input_grid: np.ndarray) -> np.ndarray:
    g = np.array(input_grid)
    vals, counts = np.unique(g, return_counts=True)
    bg = vals[np.argmax(counts)]
    rows = np.where(np.any(g != bg, axis=1))[0]
    cols = np.where(np.any(g != bg, axis=0))[0]
    if rows.size == 0 or cols.size == 0:
        return g.copy()
    r0, r1 = rows[0], rows[-1]
    c0, c1 = cols[0], cols[-1]
    sub = g[r0:r1+1, c0:c1+1]
    # compress by taking every other row/column if dimensions are even
    return sub[::2, ::2]",False,0,3,0.0,,False,0,1,0.0,,6,6,False,
